05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.350 sec         24                                5.0                    95991.25088
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.361 sec         25                                2.0                    95991.10471
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.375 sec         26                                1.0                    95991.06149
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.386 sec         27                                0.0                    95991.05321
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO: Centroid Statistics:
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:   Centroid  Size  Within Cluster Sum of Squares
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          1     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          2     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          3     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          4     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          5     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          6     0                        0.00000
05-25 13:06:11.289 192.168.1.31:54321    21156  FJ-1-7    INFO:          7     0                        0.00000
